audio_uri,audio_begin_time,audio_length,video_title,chunks
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634168567.mp3,60,55970,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330633874359.mp3"",""audio_begin_time"":60,""audio_length"":9150,""text"":""take both your arms, show the room how high they go. Okay, so we are going to call you 10 minutes to 2.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330633907066.mp3"",""audio_begin_time"":9210,""audio_length"":9010,""text"":""You'll remember. Hold this hand up here.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330633968909.mp3"",""audio_begin_time"":18220,""audio_length"":9830,""text"":""Open your fingers for me. I'm going to bring my hand in. I'm going to access the healing frequencies. We don't know what's going to happen. Guess what, just""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634003677.mp3"",""audio_begin_time"":28050,""audio_length"":7340,""text"":""as with medicine, there are no promises or guarantees. Unlike medicine,""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_13933063405808.mp3"",""audio_begin_time"":35390,""audio_length"":10460,""text"":""there won' be any adverse side effects. My whole arm begins to float. If I push down, it floats back up again. I'm just feeling, I'm watching, I am""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634100982.mp3"",""audio_begin_time"":45850,""audio_length"":10180,""text"":""observing Steve's fingers. I see a tiny little movements on the fingers, nothing that's really going to show on the screen, at least at the moment.""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634460146.mp3,56030,57670,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634203946.mp3"",""audio_begin_time"":56030,""audio_length"":8790,""text"":""I tune into when I feel a sensation, I correlate it with a little movement I saw of his ring finger. There it goes again, can you see that Steve?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634234069.mp3"",""audio_begin_time"":64820,""audio_length"":10790,""text"":""Yes, no. Look at your fingers, not me, and see if you start to see them move, or not. If you don't see them move, you don't.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_13933063427869.mp3"",""audio_begin_time"":75610,""audio_length"":7780,""text"":""When I do this Steve. You don't see that? Are you watching it? Who can see it out there? Raise your hands if you can.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634305534.mp3"",""audio_begin_time"":83390,""audio_length"":10130,""text"":""Thank God. So, besides his arm, we need visual change. Now, when I do""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634349225.mp3"",""audio_begin_time"":93520,""audio_length"":9520,""text"":""this, Steve either you feel nothing or you feel something. Can you describe it?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634392386.mp3"",""audio_begin_time"":103040,""audio_length"":10660,""text"":""our energy. But that's a really, that word means so much, let's say you're speaking to a seven year old child who really wants to know what it feels like energy doesn't mean anything to them, how would you describe the sensation""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634798503.mp3,113700,60070,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634496276.mp3"",""audio_begin_time"":113700,""audio_length"":8950,""text"":""I think this change of movement. It's been a while since you""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634522093.mp3"",""audio_begin_time"":122650,""audio_length"":7740,""text"":""bumped into a 7 year old. What's it feel like that they might know?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634562754.mp3"",""audio_begin_time"":130390,""audio_length"":7470,""text"":""It feels like light. Is it pulling? Is it pushing? Is it warm? Is it cool? Is it vibe?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634591868.mp3"",""audio_begin_time"":137860,""audio_length"":9160,""text"":""it's drying, it's a drying movement. Okay, fine. Does it stay the same or is it different now?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634636669.mp3"",""audio_begin_time"":147020,""audio_length"":6980,""text"":""Is warmer, it's intensifying. What is different now than when I began? I am""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634665294.mp3"",""audio_begin_time"":154000,""audio_length"":8980,""text"":""further away. What do we know about energy? It gets weaker with distance. This is not just energy healing. I am not talking about distance healing where you shake your""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634709467.mp3"",""audio_begin_time"":162980,""audio_length"":10790,""text"":""head. No, not understanding what I'm saying, but I'm a little late on that because I caught you. I'm not talking about distance healing between here and South Africa for example""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635097205.mp3,173770,55170,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634833144.mp3"",""audio_begin_time"":173770,""audio_length"":9970,""text"":""but if you start with an energy source an inch away, you move a foot away, you move  a yard away, energy becomes measurably weaker.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634861998.mp3"",""audio_begin_time"":183740,""audio_length"":8200,""text"":""This becomes stronger, it intensifies. Have you seen any movements in your fingers or no?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634910044.mp3"",""audio_begin_time"":191940,""audio_length"":7310,""text"":""You feel them. Okay, fine. Stay there.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634953134.mp3"",""audio_begin_time"":199250,""audio_length"":9630,""text"":""You don't see your little fingers moving up and down. Well, this is going to make me insane if you don't see that.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330634985576.mp3"",""audio_begin_time"":208880,""audio_length"":9460,""text"":""Alright, never mind. It won't. I am releasing my OCD now. Puff! There we go. Alright, well anyway, Steve we were just playing with your fingers.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635032014.mp3"",""audio_begin_time"":218340,""audio_length"":10600,""text"":""Before I actually work on your arms, I'm going to scoot this back a little bit, stand up for a second. Okay, you can come sit back down here. So we  were just playing with your fingers""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635465726.mp3,228940,59140,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635134979.mp3"",""audio_begin_time"":228940,""audio_length"":7890,""text"":""fingers before I actually work in your arms, I want to get a better view cause I was off to the sides. I am just going to step front of you""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635187469.mp3"",""audio_begin_time"":236830,""audio_length"":10280,""text"":""for a minute. Do me a favor, bring your arms out here. Look at me, look at me. Smile. Pretend you are having a good time and just look at me. Remind me how high your arms can go now .""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635229073.mp3"",""audio_begin_time"":247110,""audio_length"":9060,""text"":""You can touch your fingers if you want""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635268699.mp3"",""audio_begin_time"":256170,""audio_length"":7070,""text"":""How does that feel? A lot better. Maybe it was a fluke, maybe it would only happen once. Try again""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_13933063529534.mp3"",""audio_begin_time"":263240,""audio_length"":9090,""text"":""Okay, that is the beginning.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635351967.mp3"",""audio_begin_time"":272330,""audio_length"":7550,""text"":""There isn't one person, and I've talked close to 100,000 people so far,""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635382287.mp3"",""audio_begin_time"":279880,""audio_length"":8200,""text"":""who learned reconnected feeling, who couldn't facilitate something like this if it's appropriate. If it's appropriate""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635774155.mp3,288080,55910,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635491332.mp3"",""audio_begin_time"":288080,""audio_length"":10190,""text"":""for the person, if it's appropriate for the setting, if it's appropriate for the setting. In other words,""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635535596.mp3"",""audio_begin_time"":298270,""audio_length"":6480,""text"":""I just might say oh, Steve came, he got the gift. I'm going to say Steve brought the gift.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635564037.mp3"",""audio_begin_time"":304750,""audio_length"":9230,""text"":""Steve allowed you to witness your potential, Steve allowed you to witness  what we were talking about with the light. What was the light?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635607384.mp3"",""audio_begin_time"":313980,""audio_length"":10670,""text"":""Energy gets weaker with distance. Light does not. As this spectrum opens up, more the universe comes into support it, more the sensation is what he felt. The light""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635660203.mp3"",""audio_begin_time"":324650,""audio_length"":9440,""text"":""at this higher level of  coherence that six studies have now  confirmed, the light coming through here communicated with the light coming through""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635690115.mp3"",""audio_begin_time"":334090,""audio_length"":9900,""text"":""Steve's DNA. And something inside of Steve, figuratively speaking, said, hey I remember this. I recognize this. This is my""}]"
http://worker-data.s3.amazonaws.com/578uiaiu4B-split_1393306361029.mp3,343990,38650,"""The Reconnection: Heal Others, Heal Yourself"" Eric Pearl, D.C.","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635796816.mp3"",""audio_begin_time"":343990,""audio_length"":9230,""text"":""This is my light vibration that I experience outside of time, in between my life times, and I really like this as a home. I think I will do it again.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635924416.mp3"",""audio_begin_time"":353220,""audio_length"":6780,""text"":""And he did, returned to that level of vibration. And one year and three months""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330635955331.mp3"",""audio_begin_time"":360000,""audio_length"":9180,""text"":""of this, is now this.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330636008198.mp3"",""audio_begin_time"":369180,""audio_length"":10000,""text"":""A lot of mobility. Thank you for coming up Steve, thank you very much. My pleasure. Now give me a hug.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/578uiaiu4B-split_139330636036005.mp3"",""audio_begin_time"":379180,""audio_length"":3460,""text"":""[BLANK]""}]"
http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636290397.mp3,60,65650,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330635934387.mp3"",""audio_begin_time"":60,""audio_length"":9190,""text"":""So, what exactly is brain mapping? So, brain mapping is a non invasive, now this doesn't look very non-invasive, does it?""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_13933063596763.mp3"",""audio_begin_time"":9250,""audio_length"":7100,""text"":""Where I am sticking a needle in somebody's head, it really is non-invasive. What we are doing is""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636029393.mp3"",""audio_begin_time"":16350,""audio_length"":10440,""text"":""injecting conductive gel into the cap to make contact with the scalp. So it's a little bit like what they rub that on the woman's tummy so they""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636062326.mp3"",""audio_begin_time"":26790,""audio_length"":7460,""text"":""can get that sonogram, it's kind of like that. So, the box that we use for measuring""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636108062.mp3"",""audio_begin_time"":34250,""audio_length"":9800,""text"":""EEG can pick up as small as a millionth of a volt. So those are very tiny, tiny voltages that we are working with.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636145346.mp3"",""audio_begin_time"":44050,""audio_length"":10690,""text"":""so the conductive gel mixes with the scalp and we record all the squiggly lines on there, and that's what we call an EEG. Once we have the""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636198399.mp3"",""audio_begin_time"":54740,""audio_length"":10970,""text"":""EEG, the squiggly lines, then we turn it into what's known as a quantitative EEG. Quantitative EEG really depicts that""}]"
http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636598836.mp3,65710,58920,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636318304.mp3"",""audio_begin_time"":65710,""audio_length"":9580,""text"":""EEG information, and what we call tomography. So tomography is a little bit like those weather maps that you see on television with the gradient colors and so forth.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636347854.mp3"",""audio_begin_time"":75290,""audio_length"":9690,""text"":""We get that many magic pointer here. So we see each one of these little heads is a different frequency. So up here in the top, we have one""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636393134.mp3"",""audio_begin_time"":84980,""audio_length"":9780,""text"":""1 hertz, 2 hertz, 3 hertz, 4 hertz, all the way up to 30 hertz, or whatever frequency range that we are looking at. So these colorations then tell us""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636435426.mp3"",""audio_begin_time"":94760,""audio_length"":10120,""text"":""something about what's going on there. Alright so, when we are looking at the brain map,""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636479658.mp3"",""audio_begin_time"":104880,""audio_length"":10980,""text"":""we can see the areas of high arousal and that would be the stuff that is in red here. So what you can't see under here is the percentage of how we are in the""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636525058.mp3"",""audio_begin_time"":115860,""audio_length"":8770,""text"":""these areas. Sometimes we are looking at that as a Z-score. Z-score is a statistical measure that allows us to look at""}]"
http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636979714.mp3,124630,64860,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636653106.mp3"",""audio_begin_time"":124630,""audio_length"":8310,""text"":""the brain map on standard deviation. How many standard deviations away from normal is it? So something like red would""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636682961.mp3"",""audio_begin_time"":132940,""audio_length"":7910,""text"":""indicate that it's three standard deviations above what would be considered normal. Yellow or orange would be considered two standard deviations.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636728965.mp3"",""audio_begin_time"":140850,""audio_length"":9900,""text"":""Green would be normal, light blue would be two standard deviations below normal and dark blue would be a three. So when we get into the blues, that's when""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636763509.mp3"",""audio_begin_time"":150750,""audio_length"":10110,""text"":""we are down into the low arousal area where the brain is not as active to what's going on. Take a look at what attention looks like. So""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636812744.mp3"",""audio_begin_time"":160860,""audio_length"":8540,""text"":""remember that green is normal, and red is three standard deviations above normal. So we are looking at the frequencies here. This is""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_13933063684114.mp3"",""audio_begin_time"":169400,""audio_length"":10300,""text"":""1, 2, and 3 hertz, that's delta and 4, 5, 6, 7, and 8 hertz, that's theta, 9, 10, 11, 12, that's alpha""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330636894025.mp3"",""audio_begin_time"":179700,""audio_length"":9790,""text"":""and then 13, 14, and 15, that's your sensory motor rhythms, and then 16 through 30 hertz, that's your cognitive beta activity""}]"
http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637382449.mp3,189490,63630,"""The New Frontier and Awakening"" Jeffrey L. Fannin, PhD","[{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637001552.mp3"",""audio_begin_time"":189490,""audio_length"":8290,""text"":""anything about 30, 30 to 45 hertz is considered gamma. We will talk more about gamma later. But this is somebody who had""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637031809.mp3"",""audio_begin_time"":197780,""audio_length"":8850,""text"":""that attention deficit disorder, and that is what the red is up here. They lack focus, they can't, their brain is all over the""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637082158.mp3"",""audio_begin_time"":206630,""audio_length"":10720,""text"":""so it's like the every third word, there are only picking up part of the information, trying to piece it all together because the brain is in a very dis-coherent state.""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637130065.mp3"",""audio_begin_time"":217350,""audio_length"":8970,""text"":""So after doing 50 neural feedback sessions, and what is a neural feedback session? We are trying to tell a brain, here""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637200178.mp3"",""audio_begin_time"":226320,""audio_length"":7050,""text"":""we want you to do something. So imagine that this is a thermometer going up and down,""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637253872.mp3"",""audio_begin_time"":233370,""audio_length"":9680,""text"":""and we put a threshold on there, and we're going to tell the brain we're going to give it a reward every time it stays below the threshold, because we want it to produce""},{""audio_uri"":""http://worker-data.s3.amazonaws.com/JHln6DsFpc-split_139330637296452.mp3"",""audio_begin_time"":243050,""audio_length"":10070,""text"":""less of that. If we wanted to produce more of something, we will give it the reward when it goes above the threshold. So, in this case, we are trying to get it to do""}]"
